jp,en
北海道地方,Hokkaido
東北地方,Tohoku
北陸地方,Hokuriku
関東甲信地方,Kanto Koshin Region
小笠原地方,Ogasawara Region
東海地方,Tokai Region
近畿地方,Kinki
中国地方,Chugoku
四国地方,Shikoku
九州地方,Kyushu Region
沖縄地方,Okinawa Region
石狩支庁北部,Northern Ishikari
石狩支庁中部,Central Ishikari
石狩支庁南部,Southern Ishikari
渡島支庁北部,Northern Oshima
渡島支庁東部,Eastern Oshima
渡島支庁西部,Western Oshima
檜山支庁,Hiyama
後志支庁北部,Northern Shiribeshi
後志支庁東部,Eastern Shiribeshi
後志支庁西部,Western Shiribeshi
空知支庁北部,Northern Sorachi
空知支庁中部,Central Sorachi
空知支庁南部,Southern Sorachi
上川支庁北部,Northern Kamikawa
上川支庁中部,Central Kamikawa
上川支庁南部,Southern Kamikawa
留萌支庁中北部,Mid-Northern Rumoi
留萌支庁南部,Southern Rumoi
宗谷支庁北部,Northern Soya
宗谷支庁南部,Southern Soya
網走支庁網走地方,"Abashiri, Abashiri"
網走支庁北見地方,"Abashiri, Kitami"
網走支庁紋別地方,"Abashiri, Monbetsu"
胆振支庁西部,Western Iburi
胆振支庁中東部,"Iburi, Hokkaido"
日高支庁西部,Western Hidaka
日高支庁中部,Central Hidaka
日高支庁東部,Eastern Hidaka
十勝支庁北部,Northern Tokachi
十勝支庁中部,Central Tokachi
十勝支庁南部,Northern Tokachi
釧路支庁北部,Northern Kushiro
釧路支庁中南部,Southern Kushiro
根室支庁北部,Northern Nemuro
根室支庁中部,Central Nemuro
根室支庁南部,Southern Nemuro
北海道南西沖,Off South Western Hokkaido
北海道西方沖,Off Western Hokkaido
石狩湾,Ishikari Bay
北海道北西沖,Off North Western Hokkaido
宗谷海峡,La Perouse Strait
国後島付近,Near Kunashir
択捉島付近,Near Etorofu
北海道東方沖,Off Eastern Hokkaido
根室半島南東沖,Off South Eastern Nemuro Peninsula
釧路沖,Kushiro
十勝沖,Off Tokachi
浦河沖,Off Urakawa
苫小牧沖,Off Tomakomai
内浦湾,Uchiura Bay
宗谷東方沖,Off Eastern Soya
網走沖,Off Abashiri
択捉島南東沖,Off South Wastern Etorofu
青森県津軽北部,"Northern Tsugaru, Aomori"
青森県津軽南部,"Southern Tsugaru, Aomori"
青森県三八上北地方,"Sanpachi, Aomori"
青森県下北地方,"Shimokita, Aomori"
岩手県沿岸北部,Northern Iwate Coast
岩手県沿岸南部,Southern Iwate Coast
岩手県内陸北部,Northern Inland Iwate
岩手県内陸南部,Southern Inland Iwate
宮城県北部,Northern Miyagi
宮城県南部,Southern Miyagi
宮城県中部,Central Miyagi
秋田県沿岸北部,Northern Akita Coast
秋田県沿岸南部,Southern Akita Coast
秋田県内陸北部,Northern Inland Akita
秋田県内陸南部,Southern Inland Akita
山形県庄内地方,"Shonai, Yamagata"
山形県最上地方,"Mogami, Yamagata"
山形県村山地方,"Murayama, Yamagata"
山形県置賜地方,"Okitama, Yamagata"
福島県中通り,"Nakadori, Fukushima"
福島県浜通り,"Hamadori, Fukushima"
福島県会津,"Aizu, Fukushima"
津軽海峡,Tsugaru Strait
山形県沖,Off Yamagata
秋田県沖,Off Akita
青森県西方沖,Off Western Aomori
陸奥湾,Mutsu Bay
青森県東方沖,Off Eastern Aomori
岩手県沖,Off Iwate
宮城県沖,Off Miyagi
三陸沖,Sanriku
福島県沖,Off Fukushima
茨城県北部,Northern Ibaraki
茨城県南部,Southern Ibaraki
千葉県南東沖,Off South Eastern Chiba
栃木県北部,Northern Tochigi
栃木県南部,Southern Tochigi
群馬県北部,Northern Gunma
群馬県南部,Southern Gunma
埼玉県北部,Northern Saitama
埼玉県南部,Southern Saitama
埼玉県秩父地方,"Chichibu, Saitama"
千葉県北東部,North Eastern Chiba
千葉県北西部,North Western Chiba
千葉県南部,Southern Chiba
房総半島南方沖,Off Southern Boso Peninsula
東京都２３区,Tokyo Metropolitan Area
東京都多摩東部,"Eastern Tama, Tokyo"
東京都多摩西部,"Western Tama, Tokyo"
神奈川県東部,Eastern Kanagawa
神奈川県西部,Western Kanagawa
新潟県上越地方,"Joetsu, Niigata"
新潟県中越地方,"Chuetsu, Niigata"
新潟県下越地方,"Kaetsu, Niigata"
新潟県下越沖,"Off Kaetsu, Niigata"
新潟県上中越沖,"Off Chuetsu, Niigata"
富山県東部,Estern Toyama
富山県西部,Western Toyama
石川県能登地方,"Noto, Ishikawa"
石川県加賀地方,"Kaga, Ishikawa"
福井県嶺北,"Reihoku, Fukui"
福井県嶺南,"Lingnan, Fukui"
山梨県中西部,Mid Western Yamanashi
山梨県東部富士五湖,"Fuji 5 Lakes, Yamanashi"
長野県北部,Northern Nagano
長野県中部,Central Nagano
長野県南部,Southern Nagano
岐阜県飛騨地方,"Hida, Gifu"
岐阜県美濃東部,"Eastern Mino, Gifu"
岐阜県美濃中西部,"Mid Western Mino, Gifu"
静岡県伊豆地方,"Izu, Shizuoka"
静岡県東部,Eastern Shizuoka
静岡県中部,Central Shizuoka
静岡県西部,Western Shizuoka
愛知県東部,Eastern Aichi
愛知県西部,Western Aichi
三重県北部,Northern Mie
三重県中部,Central Mie
三重県南部,Southern Mie
三重県南東沖,Off South Eastern Mie
茨城県沖,Off Ibaraki
関東東方沖,Off Eastern Kanto
千葉県東方沖,Off Eastern Chiba
八丈島東方沖,Off Eastern Hachijo Island
八丈島近海,Hachijo Island Waters
東京湾,Tokyo Bay
相模湾,Sagami Bay
伊豆大島近海,Izu Oshima Waters
伊豆半島東方沖,Off Eastern Izu Peninsula
三宅島近海,Miyake Island Waters
新島神津島近海,Niijima Kozushima Waters
駿河湾,Suruga Bay
駿河湾南方沖,Off Southern Suruga Bay
遠州灘,Enshu
三河湾,Mikawa Bay
伊勢湾,Ise Bay
若狭湾,Wakasa Bay
福井県沖,Off Fukui Prefecture
石川県西方沖,Off Western Ishikawa
能登半島沖,Noto Peninsula
富山湾,Toyama Bay
佐渡付近,Near Sado
東海道南方沖,Off Southern Tokaido
滋賀県北部,Northern Shiga
滋賀県南部,Southern Shiga
京都府北部,Northern Kyoto
京都府南部,Southern Kyoto
大阪府北部,Northern Osaka
大阪府南部,Southern Osaka
兵庫県北部,Northern Hyogo
兵庫県南東部,South Eastern Hyogo
兵庫県南西部,South Western Hyogo
奈良県,Nara
和歌山県北部,Northern Wakayama
和歌山県南部,Southern Wakayama
鳥取県東部,Eastern Tottori
鳥取県中部,Central Tottori
鳥取県西部,Western Tottori
島根県東部,Eastern Shimane
島根県西部,Western Shimane
岡山県北部,Northern Okayama
岡山県南部,Southern Okayama
広島県北部,Northern Hiroshima
広島県南東部,South Eastern Hiroshima
広島県南西部,South Western Hiroshima
徳島県北部,Northern Tokushima
徳島県南部,Southern Tokushima
香川県東部,Eastern Kagawa
香川県西部,Western Kagawa
愛媛県東予,Northern Ehime
愛媛県中予,Central Ehime
愛媛県南予,Southern Ehime
高知県東部,Eastern Kochi
高知県中部,Central Kochi
高知県西部,Western Kochi
土佐湾,Tosa Bay
紀伊水道,Kii Channel
大阪湾,Osaka Bay
播磨灘,Harimanada
瀬戸内海中部,Central Seto Inland Sea
安芸灘,Akinada Sea
周防灘,Suo Sea
伊予灘,Iyonada Sea
豊後水道,Bungo Channel
山口県北西沖,Off North Western Yamaguchi
島根県沖,Off Shimane
鳥取県沖,Off Tottori
隠岐島近海,Oki Island Waters
兵庫県北方沖,Off Northern Hyogo
京都府沖,Off Kyoto
淡路島付近,Near Awaji Island
和歌山県南方沖,Off Southern Wakayama
山口県北部,Northern Yamaguchi
山口県東部,Eastern Yamaguchi
山口県西部,Western Yamaguchi
福岡県福岡地方,"Fukuoka, Fukuoka"
福岡県北九州地方,"Kitakyushu, Fukuoka"
福岡県筑豊地方,"Chikuho, Fukuoka"
福岡県筑後地方,"Chikugo, Fukuoka"
佐賀県北部,Northern Saga
佐賀県南部,Southern Saga
長崎県北部,Northern Nagasaki
長崎県南西部,South Western Nagasaki
長崎県島原半島,"Shimabara Peninsula, Nagasaki"
熊本県阿蘇地方,"Aso, Kumamoto"
熊本県熊本地方,"Kumamoto, Kumamoto"
熊本県球磨地方,"Kuma, Kumamoto"
熊本県天草芦北地方,"Amakusa Ashikita, Kumamoto"
大分県北部,Northern Oita
大分県中部,Central Oita
大分県南部,Southern Oita
大分県西部,Western Oita
宮崎県北部平野部,"Northern Plains, Miyazaki"
宮崎県北部山沿い,"Northern Mountain, Miyazaki"
宮崎県南部平野部,"Southern Plains, Miyazaki"
宮崎県南部山沿い,"Southern Mountain, Miyazaki"
鹿児島県薩摩地方,"Satsuma, Kagoshima"
鹿児島県大隅地方,"Osumi, Kagoshima"
五島列島近海,Goto Islands Waters
天草灘,Amakusanada
有明海,Ariake Sea
橘湾,Tachibana Bay
鹿児島湾,Kagoshima Bay
種子島近海,Tanegashima Waters
日向灘,Hyuga
奄美大島近海,Amami Oshima
壱岐対馬近海,Iki-Tsushima waters
福岡県北西沖,Off North Western Fukuoka
薩摩半島西方沖,Off Western Satsuma Peninsula
トカラ列島近海,Tokara Islands waters
奄美大島北西沖,Off North Western Amami Oshima
大隅半島東方沖,Off Eastern Osumi Peninsula
九州地方南東沖,Off South Eastern Kyushu
種子島南東沖,Off South Eastern Tanegashima
奄美大島北東沖,Off North Eastern Amami Oshima
沖縄本島近海,Off Okinawa
南大東島近海,Minami Daito Island Waters
沖縄本島南方沖,Off Southern Okinawa
宮古島近海,Miyakojima Waters
石垣島近海,Ishigaki Waters
石垣島南方沖,Off Southern Ishigaki
西表島付近,Near Iriomote Island
与那国島近海,Yonaguni Island Waters
沖縄本島北西沖,Off North Western Okinawa
宮古島北西沖,Off North Western Miyakojima
石垣島北西沖,Off North Western Ishigaki
台湾付近,Near Taiwan
東シナ海,East China Sea
四国沖,Off Shikoku (Japan)
鳥島近海,Torishima Waters
鳥島東方沖,Off Eastern Torishima
オホーツク海南部,Okhotsk Sea South
サハリン西方沖,Off Western Sakhalin
日本海北部,Northern Sea of Japan
日本海中部,Central Sea of Japan
日本海西部,Western Sea of Japan
父島近海,Chichijima Waters
千島列島,Kuril Islands
千島列島南東沖,Off South Eastern Kuril Islands
北海道南東沖,Off South Eastern Hokkaido
東北地方東方沖,Off Eastern Tohoku
小笠原諸島西方沖,Off Western Ogasawara Islands
硫黄島近海,Iwo Jima waters
小笠原諸島東方沖,Off Eastern Ogasawara Islands
南海道南方沖,Off Southern Nankaido
薩南諸島東方沖,Off Eastern Satsunan Islands
本州南方沖,Off Southern Honshu
サハリン南部付近,Southern Sakhalin
北西太平洋,North Western Pacific Ocean
マリアナ諸島,Mariana Islands
黄海,Yellow Sea
朝鮮半島南部,South Korean Peninsula
朝鮮半島北部,North Korean Peninsula
中国東北部,North Eastern China
ウラジオストク付近,Near Vladivostok
シベリア南部,Southern Siberia
サハリン近海,Offshore Sakhalin
アリューシャン列島,Aleutian Islands
カムチャツカ半島付近,Near the Kamchatka Peninsula
北米西部,Western North America
北米中部,Central North America
北米東部,Eastern North America
中米,Central America
南米西部,Western South America
南米中部,Central South America
南米東部,Eastern South America
北東太平洋,North East Pacific Ocean
南太平洋,South Pacific Ocean
インドシナ半島付近,Near Indochina
フィリピン付近,Near The Philippines
インドネシア付近,Near Indonesia
グアム付近,Near Guam
ニューギニア付近,Near Papua New Guinea
ニュージーランド付近,Near New Zealand
オーストラリア付近,Near Australia
シベリア付近,Near Siberia
ロシア西部,Western Russia
ロシア中部,Central Russia
ロシア東部,Eastern Russia
中央アジア,Central Asia
中国西部,Western China
中国中部,Central China
中国東部,East China
インド付近,Near India
インド洋,The Indian Ocean
中東,Middle East
ヨーロッパ西部,Western Europe
ヨーロッパ中部,Central Europe
ヨーロッパ東部,Eastern Europe
地中海,Mediterranean Sea
アフリカ西部,Western Africa
アフリカ中部,Central Africa
アフリカ東部,Eastern Africa
北大西洋,Northern Atlantic Ocean
南大西洋,Southern Atlantic Ocean
北極付近,Near the North Pole
南極付近,Near Antarctica
